text,label,translated
Pretty busy . I have to pick up a lot of credits this year .,9,꽤 바쁘네요. 올해는 학점을 많이 따야 해요.
Thanks a lot . You are so kind .,9,감사합니다. 정말 친절하시네요.
"I ’ m living at Room 222 , Building 18 , N . P . U .",9,저는 노스캐롤라이나 주 18동 222호에 살고 있습니다.
I got the job you recommended me for last week .,9,지난주에 당신이 추천해준 직장을 구했어요.
"No , I didn't .",9,"아뇨, 그렇지 않아요."
I am a realist .,9,저는 현실주의자입니다.
I see,9,그렇군요.
You ’ re the best !,9,당신이 최고예요!
Unusual pet are often more expensive to keep . Is that a problem ?,9,특이한 애완동물은 종종 키우기에 더 비싸다. 그것이 문제인가?
Yeah . My grandmother gets by on social security and the money my grandfather invested when he was alive .,9,네. 할머니는 사회보장과 할아버지가 살아계실 때 투자한 돈으로 생활해요.
I'm having a great time . I love it . I'm glad we came .,9,아주 좋은 시간 보내고 있어요. 너무 좋아요. 잘 왔어요.
That ’ s a nice dress . It ’ s very smart .,9,멋진 드레스네요. 그것은 매우 똑똑하다.
I was part of a band in school .,9,나는 학교에서 밴드의 일원이었다.
"ZZZ means'sleepy or tired or bored ' , A / S / L is tricky , which is often used at first encounter . It's a three-word question , ' age , / sex / location ? '",9,"ZZZ는 '졸리거나 피곤하거나 지루하다'는 뜻으로, A/S/L은 까다롭다는 뜻으로, 첫 만남에서 자주 사용된다. '나이, 성별, 위치?'라는 세 단어로 된 질문입니다"
"I hate to do this , but I've got to cancel a reservation I made earlier this week .",9,"이렇게 하기는 싫지만, 이번 주 초에 예약한 것을 취소해야 해요."
"Good morning , May . Good girl , you are reading English books again .",9,"좋은 아침이야, 메이. 좋은 소녀야, 너는 또 영어책을 읽고 있구나."
"One . And , if possible , I'm looking for a non-smoking room .",9,하나요. 그리고 가능하다면 금연 객실을 찾고 있어요.
"Poor boy . They work hard at school nowadays , don't they ? Does he like it ?",9,"불쌍한 아이. 그들은 요즘 학교에서 열심히 일하죠, 그렇죠? 그는 그것을 좋아하나요?"
A cheap day return ticket ?,9,저렴한 당일 왕복 티켓?
"I'm awfully sorry , sir . I do apologize . A ten-year-old boy and a mother live upstairs . Maybe the boy is a little bit naughty .",9,대단히 죄송합니다. 정말 죄송합니다. 10살짜리 소년과 어머니가 위층에 살고 있습니다. 아마도 그 소년은 좀 버릇이 없을 것입니다.
We'll be making the decision by the end of this week and we'll contact you as soon as possible .,9,우리는 이번 주말까지 결정을 내릴 것이고 가능한 한 빨리 당신에게 연락할 것입니다.
"I really liked the apples . Bring me a couple of apples , please .",9,사과가 정말 마음에 들었어요. 사과 두 개 주세요.
