text,label,translated
"Elvin , please . Can I count on you to keep your cool for a week , or not ?",9,"엘빈, 제발요. 일주일 동안 냉정을 유지할 수 있을 거라고 믿어도 될까요, 아닌가요?"
I'm so relieved . I just passed the bar exam .,9,정말 안심이 되네요. 저는 방금 사법시험에 합격했어요.
But you did it and did it well !,9,하지만 당신은 그것을 했고 잘 했어요!
How good of quality is the furniture ?,9,그 가구는 품질이 얼마나 좋습니까?
Sure . Have you got anywhere in mind ?,9,물론이죠. 생각해 둔 곳이 있나요?
"If you need baggage tags , they are found in the box on your right .",9,"만약 당신이 수화물 태그가 필요하다면, 그것들은 당신의 오른쪽에 있는 상자에서 찾을 수 있습니다."
Welcome to Super Stereos . What can I do for you ?,9,슈퍼 스테레오에 오신 것을 환영합니다. 뭘 도와 드릴까요?
Sure . I don't want to waste even a minute .,9,물론이죠. 단 1분도 낭비하고 싶지 않아요.
"Good morning , Miss Cai . Congratulations ! You ’ Ve passed the interview .",9,"안녕하세요, 채양. 축하해요! 면접에 합격하셨네요."
"Can I help you , sir ?",9,"도와드릴까요, 선생님? "
Good . I was thinking that I ’ d like to invite you to watch a movie . I can meet you at the cinema gate .,9,좋아요. 당신을 영화 보러 초대하고 싶어요. 나는 극장 입구에서 너를 만날 수 있다.
"No , they're giving us discount tickets on a honeymoon package in ...",9,"아니요, 신혼여행 패키지로 할인 티켓을..."
I like lotus .,9,나는 연꽃을 좋아한다.
"No , I don't think it could be . I checked the battery two days ago . It must be other problems .",9,"아니, 그럴 수는 없을 것 같아. 나는 이틀 전에 배터리를 확인했다. 다른 문제일 거예요."
"The parades are usually military ones , but sometimes there are procession of people carrying flags and singing patriotic songs . What do you do on national day in your country ?",9,"퍼레이드는 보통 군대의 것이지만, 때때로 깃발을 들고 애국적인 노래를 부르는 사람들의 행렬이 있다. 당신의 나라에서는 국경일에 무엇을 하나요?"
Thank you . Mr . Smith . What ’ s your telephone number ?,9,감사합니다. 스미스 씨. 전화번호가 어떻게 되십니까?
How many people are there in your family ?,9,식구가 몇 명이나 되죠?
"That's not the same thing . If you buy hotel souvenirs , they have no sentimental value .",9,"그것은 같은 것이 아니다. 만약 당신이 호텔 기념품을 산다면, 그것들은 감상적인 가치가 없다."
Thursday .,9,목요일.
Now or later ?,9,"지금이야, 나중이야?"
"Daniel , I am not tall enough to reach the of the blackboard .",9,"다니엘, 나는 칠판에 닿을 만큼 충분히 키가 크지 않아."
"The taxi will be ready when you are , sir .",9,"손님, 준비되면 택시가 준비될 것입니다."
What do you think are the responsibilities of a tourist guide ?,9,당신은 관광 가이드의 책임이 무엇이라고 생각하나요?
Thank you very much !,9,정말 감사합니다!
That ’ s all .,9,이상입니다.
"Oh , are you ? That sounds interesting .",9,"오, 너가 그래? 그거 재미있겠다."
Where's the bowl gone ?,9,그릇은 어디 갔어요?
Why don't you take a few days off ?,9,며칠 쉬는 게 어때요?
Thank you.Ah ! But this is in French.Would you mind giving me the English menu ?,9,감사해요.아! 근데 이건 프랑스어야.영어 메뉴판 좀 주시겠어요?
Where ’ s the wagon ?,9,왜건은 어디 있지?
Did he tell you what she was like first ?,9,그녀가 어떤 사람인지 그가 먼저 말해줬나요?
"I think you ’ re right . Climate change naturally over time , but I think that human activities are speeding up the change . I wish that government would join together and try to resolve the problem .",9,"네 말이 맞는 것 같아. 시간이 지나면서 자연스럽게 기후가 변하지만, 나는 인간의 활동이 그 변화를 가속화하고 있다고 생각해. 나는 정부가 함께 힘을 합쳐 문제를 해결하기를 바란다."
How long can I keep it ?,9,얼마나 오래 보관할 수 있나요?
Did you enjoy the movie ?,9,영화는 재미있었어요?
These roses should make your wife very happy .,9,이 장미들은 당신의 아내를 매우 행복하게 할 것이다.
What time does the open house start ?,9,오픈 하우스는 몇 시에 시작하나요?
Can I get a burger and a large fries ?,9,햄버거 하나랑 감자튀김 큰 것 하나 주시겠어요?
"Yes , it's true I don't .",9,"네, 안 하는 건 사실이에요."
That will be 80 Yuan altogether . Here is your invoice .,9,모두 80위안입니다. 송장 여기 있습니다.
I think you should definitely apply for the position .,9,저는 당신이 그 자리에 꼭 지원해야 한다고 생각합니다.
Really ? Why we must have warm and fresh water ?,9,정말? 왜 우리는 따뜻하고 신선한 물을 가져야 하는가?
May I have a look at it please ?,9,제가 그것을 좀 봐도 될까요?
"We've got a spot in Olympic Stadium sponsoring one of a team's equipment , then a rally for cancer research , and a connection to the inner-city education program .",9,우리는 올림픽 경기장에서 팀의 장비 중 하나를 후원하고 암 연구를 위한 집회를 개최하며 도심 교육 프로그램에 대한 연결고리를 가지고 있습니다.
Let's do it this way . I'll take him to your place this Saturday . Then you two can make a schedule .,9,이런 식으로 합시다. 이번 주 토요일에 그를 당신 집에 데려다 줄게요. 그럼 두 분이 일정을 짜시면 됩니다.
I thought that you had your own parking spot ?,9,주차할 곳이 따로 있는 줄 알았는데요?
There are people everywhere.What ' s that girl doing ?,9,어디에나 사람들이 있어요.저 여자 뭐하는 거야?
one study said that low-income groups have a higher percentage of over-weight people than higher income families .,9,한 연구는 저소득층이 고소득층보다 과체중인 사람들의 비율이 더 높다고 말했다.
May I know the definite date of delivery ?,9,확실한 납기를 알 수 있을까요?
"State your opinion or argument first , and then go on with details .",9,"당신의 의견이나 주장을 먼저 말하고, 그 다음에 세부사항을 계속하세요."
Since last night .,9,어젯밤부터요.
Mom ! I'll wear a helmet and I'll drive sane . I promise .,9,엄마! 헬멧 쓰고 제정신으로 운전할게요. 약속해요.
"No , I will call the attendants at the gate . I'll tell them you are on your way .",9,"아니요, 탑승구에 있는 수행원들을 부를게요. 지금 가고 있다고 말씀드릴게요."
Then it wasn't meant to be . Some people have put up a hard fight for some items I bid on . But I was the sole bidder for this bag and got it dirt-cheap .,9,"그러면 안 될 거예요. 어떤 사람들이 제가 낙찰받은 물건들 때문에 힘든 싸움을 벌였는데, 제가 이 가방의 유일한 입찰자가 되어 헐값에 낙찰받았어요."
"Well , after you dial 9 on the keypad , you should hear the tone change .",9,"음, 당신이 키패드에서 9를 누른 후에, 당신은 톤 변화를 들을 것이다."
"Wow , is that your sports car ?",9,"와, 저것이 너의 스포츠카니?"
I'm happy to be of assistance .,9,도움이 되어 기쁩니다.
"Since you are not the one who caused the accident , your insurance cost should be the same .",9,"당신이 사고를 낸 사람이 아니기 때문에, 당신의 보험료는 동일해야 합니다."
Hard to say . Now the score is in our favor .,9,말하기 어렵다. 이제 점수는 우리에게 유리하다.
"No , he doesn ’ t .",9,"아니요, 그는 없어요."
Do you want any dissert ?,9,논문을 원하십니까?
What do you do now ?,9,지금 하고 있는 일이 뭔데?
I'd like to try some Chinese food .,9,중국 음식을 먹어보고 싶어요.
He got arrested on Friday night and spent the night in jail .,9,그는 금요일 밤에 체포되어 감옥에서 밤을 보냈다.
How long did it take you to do the tiling .,9,타일을 붙이는 데 얼마나 걸렸어요.
Can I choose the home inspector ?,9,홈 인스펙터를 선택할 수 있나요?
"OK , OK .",9,"알았어, 알았어."
How much cash would you like ?,9,현금으로 얼마나 드릴까요?
Yeah . I just can't find it anywhere .,9,"네, 어디에서도 찾을 수 없어요."
"That's too bad . So , what did you ask for Christmas this year ?",9,"아쉽네요. 그래서, 올해 크리스마스에 무엇을 요청했나요?"
So you should make an appointment in advance with the company for the interview .,9,그래서 당신은 면접을 위해 회사와 미리 약속을 잡아야 합니다.
Ok . What are we having ?,9,좋아요. 우리 뭐 먹을까요?
Like the seven-piece set . It's only $ 120 .,9,7종 세트처럼. 120달러밖에 안 해요.
"That might be acceptable . I shall have to cable our Beijing office to get their approval . You can definitely supply in the time you've given me , I suppose .",9,그럴 수도 있겠네요. 나는 우리의 북경 사무소에 전보를 쳐서 그들의 동의를 얻어야 한다. 당신이 준 시간 안에 확실히 공급할 수 있을 것 같아요.
